16 16
7
10
7
14 3
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
0; 1M; 1M; 1; 1P; 1; 0; 0; 5M; 5M; 5M; 5M; 5; 5; 5; 0
0; 1M; 1; 1; 1; 1; 1; 0; 5M; 5M; 5M; 5; 5; 5; 5; 0
0; 1; 1; 1; 1; 1; 1; 1; 5; 5M; 5; 5; 5P; 5; 5; 0
0; 1; 1; 1; 1P; 1; 1; 0; 5; 5; 5; 5; 5; 5; 5; 0
0; 1; 1; 1; 0; 1; 0; 0; 0; 5; 0; 5; 5; 0; 5; 0
0; 1; 2; 2; 2; 4; 4; 0; 0; 0; 0; 0; 3; 0; 0; 0
0; 2; 2; 2; 4; 4; 4; 4; 0; 0; 0; 3; 3; 3; 0; 0
0; 2; 2; 2; 2; 4; 4; 4; 4; 0; 3; 3; 3; 3; 0; 0
0; 2; 2; 2; 2; 4; 4; 4; 0; 0; 0; 3; 3; 3; 3; 0
0; 2; 2; 2; 4; 4; 4; 4; 0; 0; 3; 3; 3; 3; 0; 0
0; 2; 2; 2; 4; 4; 4; 4; 0; 0; 3; 3; 3; 3; 3; 0
0; 2; 2; 2; 2; 4M; 4; 4; 0; 0; 3; 3; 3; 3; 3; 0
0; 2; 2; 2; 2M; 4M; 4M; 4; 4; 0; 0; 3; 3; 3; 6; 0
0; 2; 0; 2; 0; 4M; 4M; 4; 0; 0; 0; 0; 3; 6; 6; 0
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
